凘	𠗧
凛	懔 凜
凜	凛
几	幾
凡	凢 凣
凢	凡
凣	凡
凤	鳳
処	處 䖏
凨	風
凫	鳧 鳬
凬	風
凭	憑
凯	凱
凱	凯
凳	櫈
凴	憑
凶	兇 㐫 𣧑
凷	塊
凹	𠕄
出	岀
击	擊
凼	幽
函	凾 圅
凾	函 圅
凿	鑿
刀	刂
刂	刀
刃	刄
刄	刃
刅	創
分	份
切	切
刈	苅 𠛄
刊	刋
刋	刊
刍	芻
刏	𣱚
划	劃 畫
刓	园
刔	抉
列	列
刘	劉
则	則
刚	剛
创	創
初	䥚
删	刪 𠛹
別	𠔁 别
刦	劫 刧
刧	刦 劫
刨	鉋
利	利 𥝢 𥝤
刪	删
别	別
刬	剗
刭	剄
刮	颳
刱	剏 創
刴	剁
制	𠜔 𠝦 𠝁 𠛐 製
刷	㕞
刹	剎
刺	刾 莿
刻	𠞫
刼	劫
刽	劊
刾	刺
刿	劌
剀	剴
剁	刴
剂	劑
剃	鬀
剄	刭
則	𠟻 𠟭 𠞋 𠟔 则
剈	𠜟
剉	銼
剋	尅 克
剌	巤
前	歬 𣦃
剎	刹
剏	刱
剐	剮
剑	劍
剔	𠜓 𠠡
剖	𠞌
剗	剷 刬
剙	創
剛	𠜛 𠇝 𠇙 刚
剝	𠚪 剥
剣	劍
剤	劑
剥	剝
剦	閹
剧	劇
剩	剰 賸
剪	翦
剮	剐
剰	剩
剱	劍
割	𠛛 㓣 𠛷
剳	箚 劄
剴	剀
創	剙 戧 𠝀 𠛲 瘡 刅 刱 创
剷	鏟 剗
剿	勦 𠞰
劃	𠟱 划
劄	剳
劆	鐮
劇	剧
劈	擗
劉	鎦 𠭱 刘
劊	刽
劌	刿
劍	劒 剑
劎	劔
劏	㓥
劑	剤 𠜸 剂
劒	劍
劓	㓷
劔	劍 劎
劚	㔉
力	力 𠠲
劝	勸
办	辦
务	務
劢	勵 勱
劣	劣
动	動
劫	刦 刧 刼
励	勵
劲	勁
劳	勞
労	勞
劵	券
効	效
势	勢
勁	俓 劲
勃	艴
勄	敏
勅	勑 敕
勋	勛
勑	倈 勅 敕 徠
勒	勒
動	㣫 𨔝 动
勖	勗
勗	勖
務	务
勚	勩
勛	勲 勳 勋
勝	𠢧 𠅫 𢾶 胜
勞	勞 𠣁 𢥒 劳
勠	𠝧
勢	势
勤	懃 瘽
勦	剿
勧	勸
勩	勚
勰	協 恊 脅
勱	劢
勲	勛
勳	勛
勵	劢 励
勸	勧 劝
勹	包
勻	匀
勽	㲒 菢
勾	句
匀	勻
匃	丐 匄
匄	匃
包	勹
匆	悤 怱
匈	胸 胷
匊	𦥑 掬
匋	陶
匏	瓟
化	𠤎 𠯒 𠏁
北	北 𧉥
匘	腦
匙	鍉
匚	𠤬
匜	也
匝	帀 迊
匦	匭
匧	篋
匨	藏
匭	匦
匮	匱
匯	滙 汇
匱	樻 鐀 櫃 饋 匮
匳	奩
匵	櫝
匸	放
匹	疋
区	區
医	醫
匿	匿
區	区
十	拾 拾
千	仟
卄	廿
卆	卒
升	昇
卉	芔
卋	世
卍	卐 万 萬
华	華
协	協
卐	卍
卒	卆 䘚
卓	𠤞 𠤚 𠤟 𢂚 棹
協	恊 旪 勰 协
单	單
卖	賣
南	𡴖 𡴟
単	單
博	愽
卛	率
卜	𠁡 蔔
卝	磺
占	佔
卢	盧
卣	𠧪
卤	滷 鹵
卧	臥
卩	部 節 㔾
卫	衛
